mass
0.047
0.079
0.077
0.037
0.09
0.081
0.041
0.069
0.066
0.045
0.066
0.172
0.039
0.078
0.08
0.064
0.066
0.078
0.064
0.066
0.048
0.065
0.055
0.096
0.079
0.046
0.097
0.07
0.056
0.066
0.067
0.059
0.075
0.075
0.048
