GRID,BR,YR,AGE,BY,LN,Dam,FOOD,LSIZE,Julian,conestm1
LL,1,1997,7,1990,1,425,0,1,117,3.069415
LL,2,1997,3,1994,1,432,0,0,123,3.069415
LL,1,1997,3,1994,1,438,0,4,116,3.069415
LL,1,1997,3,1994,1,439,0,4,129,3.069415
KL,2,1997,4,1993,1,440,0,0,149,3.069415
KL,1,1997,3,1994,1,444,0,3,129,3.069415
KL,1,1997,3,1994,1,445,0,3,106,3.069415
KL,1,1997,4,1993,1,446,0,2,98,3.069415
KL,1,1997,4,1993,1,447,0,4,116,3.069415
KL,1,1997,4,1993,1,450,0,4,104,3.069415
KL,1,1997,4,1993,1,451,0,3,86,3.069415
KL,1,1997,4,1993,1,452,0,4,94,3.069415
KL,1,1997,2,1995,1,457,0,3,96,3.069415
KL,1,1997,2,1995,1,458,0,3,118,3.069415
KL,1,1997,2,1995,1,460,0,3,114,3.069415
KL,1,1997,2,1995,1,462,0,2,92,3.069415
KL,1,1997,2,1995,1,464,0,2,105,3.069415
KL,1,1997,2,1995,1,465,0,2,116,3.069415
KL,2,1997,2,1995,1,467,0,0,112,3.069415
KL,1,1997,2,1995,1,468,0,2,113,3.069415
KL,1,1997,2,1995,1,470,0,2,115,3.069415
KL,1,1997,2,1995,1,473,0,2,108,3.069415
KL,1,1997,3,1994,1,474,0,4,118,3.069415
KL,1,1997,2,1995,1,476,0,1,120,3.069415
KL,1,1997,2,1995,1,478,0,3,121,3.069415
LL,1,1997,5,1992,1,481,0,3,103,3.069415
LL,1,1997,2,1995,1,482,0,3,135,3.069415
KL,1,1997,2,1995,1,483,0,1,107,3.069415
KL,1,1997,2,1995,1,489,0,2,99,3.069415
LL,1,1997,6,1991,1,496,0,3,142,3.069415
LL,2,1997,2,1995,1,500,0,0,149,3.069415
LL,1,1997,4,1993,1,501,0,2,134,3.069415
LL,1,1997,2,1995,1,502,0,1,114,3.069415
KL,1,1997,3,1994,1,503,0,3,101,3.069415
LL,1,1997,2,1995,1,504,0,5,125,3.069415
LL,1,1997,3,1994,1,505,0,3,124,3.069415
LL,1,1997,2,1995,1,510,0,3,136,3.069415
LL,1,1997,2,1995,1,512,0,2,135,3.069415
LL,1,1997,2,1995,1,513,0,3,145,3.069415
SU,4,1997,3,1994,1,519,0,3,134,3.069415
SU,4,1997,2,1995,1,529,0,3,106,3.069415
SU,1,1997,2,1995,1,530,0,2,124,3.069415
SU,1,1997,2,1995,1,531,0,3,120,3.069415
SU,1,1997,2,1995,1,532,0,3,138,3.069415
SU,1,1997,2,1995,1,533,0,3,98,3.069415
SU,1,1997,2,1995,1,534,0,3,122,3.069415
SU,1,1997,2,1995,1,537,0,3,144,3.069415
LL,1,1997,2,1995,1,551,0,3,168,3.069415
LL,1,1997,1,1996,1,556,0,3,165,3.069415
LL,1,1997,5,1992,1,563,0,3,136,3.069415
KL,1,1997,4,1993,1,564,0,1,111,3.069415
LL,1,1997,2,1995,1,582,0,2,164,3.069415
LL,1,1997,2,1995,1,642,0,3,139,3.069415
SU,1,1997,2,1995,1,683,0,3,139,3.069415
SU,1,1997,2,1995,1,706,0,4,121,3.069415
SU,1,1998,1,1997,1,8,0,3,170,2.758691
KL,1,1998,7,1991,1,166,0,5,133,2.758691
KL,2,1998,7,1991,1,167,0,0,105,2.758691
SU,1,1998,3,1995,1,184,0,3,111,2.758691
SU,1,1998,3,1995,1,185,0,3,101,2.758691
KL,1,1998,3,1995,1,197,0,3,103,2.758691
KL,1,1998,6,1992,1,201,0,3,85,2.758691
KL,1,1998,5,1993,1,214,0,2,106,2.758691
KL,1,1998,5,1993,1,221,0,3,114,2.758691
KL,2,1998,5,1993,1,222,0,0,123,2.758691
KL,1,1998,5,1993,1,227,0,4,107,2.758691
KL,1,1998,5,1993,1,229,0,3,113,2.758691
KL,1,1998,5,1993,1,232,0,2,108,2.758691
KL,1,1998,1,1997,1,268,0,2,128,2.758691
SU,1,1998,1,1997,1,338,0,4,112,2.758691
SU,1,1998,5,1993,1,349,0,4,141,2.758691
SU,1,1998,5,1993,1,353,0,4,99,2.758691
SU,2,1998,5,1993,1,355,0,0,100,2.758691
SU,1,1998,5,1993,1,362,0,3,103,2.758691
SU,2,1998,4,1994,1,364,0,0,105,2.758691
SU,1,1998,4,1994,1,365,0,2,112,2.758691
SU,1,1998,6,1992,1,366,0,4,130,2.758691
SU,2,1998,5,1993,1,367,0,0,99,2.758691
SU,1,1998,4,1994,1,371,0,4,105,2.758691
SU,3,1998,3,1995,1,376,0,0,112,2.758691
SU,1,1998,3,1995,1,378,0,4,140,2.758691
SU,1,1998,3,1995,1,379,0,2,183,2.758691
SU,2,1998,3,1995,1,380,0,0,105,2.758691
SU,1,1998,3,1995,1,382,0,3,133,2.758691
KL,2,1998,4,1994,1,443,0,0,86,2.758691
KL,1,1998,4,1994,1,444,0,3,126,2.758691
KL,1,1998,4,1994,1,445,0,2,109,2.758691
KL,2,1998,5,1993,1,446,0,0,99,2.758691
KL,1,1998,5,1993,1,450,0,4,137,2.758691
KL,1,1998,5,1993,1,451,0,3,92,2.758691
KL,1,1998,5,1993,1,452,0,5,94,2.758691
KL,1,1998,3,1995,1,455,0,2,113,2.758691
KL,1,1998,3,1995,1,457,0,4,95,2.758691
KL,1,1998,3,1995,1,458,0,3,103,2.758691
KL,1,1998,3,1995,1,459,0,4,109,2.758691
KL,1,1998,3,1995,1,460,0,3,110,2.758691
KL,1,1998,3,1995,1,461,0,3,107,2.758691
KL,1,1998,3,1995,1,462,0,4,96,2.758691
KL,2,1998,3,1995,1,463,0,0,101,2.758691
KL,1,1998,3,1995,1,464,0,3,107,2.758691
KL,1,1998,3,1995,1,465,0,3,119,2.758691
KL,2,1998,3,1995,1,467,0,0,109,2.758691
KL,1,1998,3,1995,1,468,0,2,101,2.758691
KL,2,1998,3,1995,1,469,0,0,102,2.758691
KL,1,1998,3,1995,1,470,0,3,111,2.758691
KL,1,1998,3,1995,1,473,0,2,99,2.758691
KL,1,1998,4,1994,1,474,0,4,130,2.758691
KL,1,1998,3,1995,1,476,0,3,111,2.758691
KL,1,1998,3,1995,1,478,0,2,115,2.758691
KL,5,1998,2,1996,1,480,0,0,124,2.758691
KL,2,1998,2,1996,1,484,0,0,101,2.758691
KL,1,1998,1,1997,1,485,0,3,112,2.758691
LL,1,1998,2,1996,1,488,0,2,172,2.758691
KL,1,1998,3,1995,1,489,0,4,105,2.758691
SU,1,1998,3,1995,1,529,0,2,99,2.758691
SU,1,1998,3,1995,1,531,0,4,134,2.758691
SU,1,1998,3,1995,1,532,0,2,124,2.758691
SU,1,1998,3,1995,1,533,0,4,106,2.758691
SU,2,1998,3,1995,1,534,0,0,106,2.758691
SU,2,1998,3,1995,1,536,0,0,111,2.758691
SU,1,1998,3,1995,1,537,0,4,134,2.758691
SU,1,1998,3,1995,1,538,0,4,114,2.758691
KL,1,1998,1,1997,1,541,0,1,105,2.758691
KL,1,1998,2,1996,1,544,0,4,121,2.758691
KL,1,1998,2,1996,1,545,0,4,119,2.758691
KL,2,1998,2,1996,1,546,0,0,118,2.758691
KL,3,1998,2,1996,1,547,0,2,119,2.758691
SU,1,1998,2,1996,1,548,0,3,117,2.758691
SU,6,1998,2,1996,1,549,0,0,135,2.758691
KL,2,1998,1,1997,1,558,0,0,164,2.758691
KL,1,1998,1,1997,1,562,0,4,121,2.758691
KL,1,1998,5,1993,1,564,0,4,106,2.758691
SU,1,1998,1,1997,1,570,0,4,172,2.758691
SU,1,1998,1,1997,1,571,0,5,198,2.758691
SU,1,1998,1,1997,1,572,0,3,153,2.758691
SU,1,1998,1,1997,1,574,0,4,165,2.758691
SU,1,1998,1,1997,1,575,0,3,142,2.758691
SU,3,1998,3,1995,1,583,0,0,193,2.758691
SU,1,1998,1,1997,1,587,0,3,131,2.758691
SU,1,1998,1,1997,1,588,0,3,167,2.758691
KL,1,1998,1,1997,1,590,0,3,131,2.758691
LL,1,1998,1,1997,1,593,0,3,144,2.758691
SU,1,1998,1,1997,1,594,0,3,127,2.758691
SU,1,1998,1,1997,1,595,0,3,137,2.758691
SU,1,1998,1,1997,1,596,0,3,128,2.758691
SU,1,1998,2,1996,1,602,0,3,119,2.758691
SU,5,1998,2,1996,0,603,0,0,110,2.758691
SU,1,1998,2,1996,1,604,0,3,116,2.758691
SU,1,1998,1,1997,1,605,0,3,130,2.758691
KL,1,1998,1,1997,1,633,0,4,132,2.758691
KL,1,1998,1,1997,1,634,0,3,158,2.758691
SU,1,1998,3,1995,1,683,0,4,123,2.758691
SU,2,1998,3,1995,1,706,0,0,100,2.758691
SU,1,1999,2,1997,1,8,2,2,95,5.326968
SU,1,1999,2,1997,1,9,0,2,102,5.326968
KL,2,1999,8,1991,1,166,0,0,115,5.326968
SU,1,1999,4,1995,1,184,0,3,87,5.326968
SU,1,1999,4,1995,1,185,2,3,88,5.326968
KL,1,1999,4,1995,1,197,2,4,75,5.326968
KL,1,1999,7,1992,1,218,0,2,97,5.326968
KL,1,1999,6,1993,1,221,0,3,96,5.326968
KL,1,1999,6,1993,1,227,0,4,91,5.326968
SU,3,1999,6,1993,1,231,0,3,73,5.326968
KL,1,1999,6,1993,1,232,0,2,87,5.326968
KL,1,1999,2,1997,1,268,0,3,90,5.326968
KL,1,1999,2,1997,1,275,0,3,109,5.326968
SU,1,1999,1,1998,1,303,2,3,94,5.326968
KL,1,1999,1,1998,1,305,2,3,97,5.326968
SU,1,1999,1,1998,1,306,2,4,98,5.326968
SU,1,1999,1,1998,1,307,0,3,91,5.326968
SU,1,1999,1,1998,1,308,0,3,100,5.326968
KL,1,1999,1,1998,1,311,0,3,98,5.326968
KL,1,1999,1,1998,1,312,0,2,100,5.326968
KL,1,1999,1,1998,1,314,0,3,94,5.326968
SU,3,1999,1,1998,1,317,0,0,62,5.326968
SU,1,1999,1,1998,1,318,0,3,92,5.326968
KL,1,1999,1,1998,1,319,2,3,113,5.326968
LL,1,1999,1,1998,1,323,2,3,109,5.326968
LL,1,1999,3,1996,1,324,0,2,70,5.326968
LL,1,1999,2,1997,1,325,2,3,95,5.326968
SU,1,1999,1,1998,1,326,0,2,95,5.326968
LL,1,1999,1,1998,1,327,2,3,97,5.326968
KL,1,1999,1,1998,1,329,2,4,106,5.326968
KL,1,1999,1,1998,1,330,2,2,104,5.326968
SU,1,1999,1,1998,1,331,0,2,117,5.326968
KL,1,1999,1,1998,1,333,0,2,100,5.326968
SU,1,1999,1,1998,1,334,0,4,101,5.326968
KL,1,1999,1,1998,1,336,2,2,113,5.326968
LL,1,1999,1,1998,1,337,2,3,103,5.326968
SU,1,1999,2,1997,1,338,0,3,88,5.326968
SU,1,1999,1,1998,1,339,0,3,98,5.326968
SU,3,1999,1,1998,1,340,0,5,92,5.326968
SU,1,1999,1,1998,1,341,0,3,110,5.326968
SU,1,1999,1,1998,1,342,2,3,91,5.326968
SU,1,1999,1,1998,1,343,0,3,99,5.326968
SU,1,1999,6,1993,1,349,2,4,82,5.326968
SU,3,1999,6,1993,1,350,0,2,81,5.326968
SU,1,1999,6,1993,1,353,0,4,98,5.326968
SU,4,1999,6,1993,1,362,0,3,89,5.326968
SU,1,1999,5,1994,1,364,0,4,98,5.326968
SU,1,1999,7,1992,1,366,0,3,87,5.326968
SU,1,1999,5,1994,1,371,0,2,87,5.326968
LL,1,1999,1,1998,1,373,2,3,97,5.326968
KL,1,1999,1,1998,1,374,,3,99,5.326968
SU,1,1999,4,1995,1,376,2,3,90,5.326968
SU,1,1999,4,1995,1,378,0,3,133,5.326968
SU,1,1999,4,1995,1,379,2,4,76,5.326968
SU,1,1999,4,1995,1,380,0,4,57,5.326968
LL,1,1999,6,1993,1,419,0,3,88,5.326968
KL,2,1999,6,1993,1,446,0,0,91,5.326968
KL,1,1999,6,1993,1,452,0,4,94,5.326968
KL,1,1999,4,1995,1,455,0,3,97,5.326968
KL,1,1999,4,1995,1,457,0,2,75,5.326968
KL,2,1999,4,1995,1,458,0,0,86,5.326968
KL,1,1999,4,1995,1,459,2,4,90,5.326968
KL,1,1999,4,1995,1,460,0,3,102,5.326968
KL,1,1999,4,1995,1,461,2,3,99,5.326968
KL,4,1999,4,1995,1,462,2,4,86,5.326968
KL,3,1999,4,1995,1,463,0,2,101,5.326968
KL,1,1999,4,1995,1,465,0,1,86,5.326968
KL,1,1999,4,1995,1,467,0,4,91,5.326968
KL,1,1999,4,1995,1,468,0,1,76,5.326968
KL,1,1999,4,1995,1,469,2,4,84,5.326968
KL,1,1999,4,1995,1,470,0,4,81,5.326968
KL,2,1999,1,1998,1,472,0,0,107,5.326968
KL,2,1999,4,1995,1,473,0,0,136,5.326968
KL,1,1999,2,1997,1,475,,3,95,5.326968
KL,3,1999,4,1995,1,476,0,1,79,5.326968
KL,1,1999,4,1995,1,478,0,2,92,5.326968
KL,1,1999,3,1996,1,480,0,4,88,5.326968
LL,1,1999,4,1995,1,482,2,4,93,5.326968
KL,2,1999,3,1996,1,484,0,0,138,5.326968
KL,1,1999,2,1997,1,485,,1,86,5.326968
KL,1,1999,1,1998,1,486,0,2,94,5.326968
KL,1,1999,4,1995,1,489,2,4,117,5.326968
KL,1,1999,1,1998,1,490,0,2,98,5.326968
KL,1,1999,1,1998,1,491,0,3,94,5.326968
KL,1,1999,1,1998,1,494,0,3,87,5.326968
KL,1,1999,1,1998,1,495,2,3,111,5.326968
LL,1,1999,4,1995,1,502,0,3,70,5.326968
LL,1,1999,6,1993,1,508,2,2,84,5.326968
KL,1,1999,1,1998,1,514,0,3,100,5.326968
KL,1,1999,1,1998,1,515,0,2,105,5.326968
KL,1,1999,1,1998,1,516,2,3,114,5.326968
KL,1,1999,1,1998,1,517,0,3,101,5.326968
SU,1,1999,1,1998,1,520,0,2,93,5.326968
KL,1,1999,3,1996,1,521,0,2,89,5.326968
KL,1,1999,1,1998,1,525,2,0,97,5.326968
SU,1,1999,4,1995,1,529,0,4,72,5.326968
SU,1,1999,3,1996,1,530,0,3,76,5.326968
SU,1,1999,4,1995,1,532,2,4,89,5.326968
SU,1,1999,4,1995,1,534,0,3,89,5.326968
SU,1,1999,4,1995,1,536,0,3,85,5.326968
KL,1,1999,2,1997,1,541,2,2,89,5.326968
KL,1,1999,3,1996,1,544,0,4,87,5.326968
KL,3,1999,3,1996,1,545,0,2,146,5.326968
KL,1,1999,3,1996,1,546,0,4,85,5.326968
KL,1,1999,3,1996,1,547,2,2,96,5.326968
SU,1,1999,3,1996,1,548,2,3,90,5.326968
LL,1,1999,3,1996,1,554,0,4,75,5.326968
LL,1,1999,3,1996,1,555,0,4,85,5.326968
LL,1,1999,3,1996,1,556,0,4,81,5.326968
SU,1,1999,2,1997,1,557,2,3,91,5.326968
KL,1,1999,2,1997,1,559,2,3,94,5.326968
KL,1,1999,2,1997,1,562,2,4,87,5.326968
KL,1,1999,6,1993,1,564,0,3,88,5.326968
KL,1,1999,2,1997,1,565,2,2,95,5.326968
SU,2,1999,2,1997,1,566,0,0,86,5.326968
KL,1,1999,2,1997,1,568,2,3,96,5.326968
SU,1,1999,2,1997,1,570,2,2,93,5.326968
SU,1,1999,2,1997,1,572,0,2,90,5.326968
LL,1,1999,2,1997,1,573,,3,88,5.326968
SU,2,1999,2,1997,1,574,0,0,92,5.326968
SU,1,1999,2,1997,1,575,2,2,89,5.326968
SU,3,1999,2,1997,1,576,0,3,86,5.326968
LL,1,1999,2,1997,1,577,2,3,99,5.326968
KL,1,1999,2,1997,1,578,,3,85,5.326968
KL,1,1999,2,1997,1,579,0,3,94,5.326968
LL,1,1999,3,1996,1,580,2,3,112,5.326968
SU,1,1999,4,1995,1,583,2,2,92,5.326968
KL,1,1999,1,1998,1,584,0,2,105,5.326968
KL,1,1999,1,1998,1,585,0,1,100,5.326968
SU,1,1999,1,1998,1,586,2,3,93,5.326968
SU,1,1999,2,1997,1,587,2,4,84,5.326968
SU,1,1999,2,1997,1,588,2,3,84,5.326968
KL,1,1999,2,1997,1,589,0,3,91,5.326968
LL,1,1999,2,1997,1,591,2,3,86,5.326968
LL,1,1999,2,1997,1,592,2,3,86,5.326968
SU,1,1999,2,1997,1,595,0,3,88,5.326968
SU,1,1999,2,1997,1,596,2,3,113,5.326968
SU,3,1999,1,1998,1,597,0,1,198,5.326968
KL,1,1999,2,1997,1,598,,3,95,5.326968
LL,1,1999,2,1997,1,599,0,3,88,5.326968
LL,1,1999,2,1997,1,600,2,4,90,5.326968
KL,1,1999,3,1996,1,601,,4,137,5.326968
SU,3,1999,3,1996,1,604,0,1,157,5.326968
KL,4,1999,1,1998,1,610,2,2,106,5.326968
SU,1,1999,1,1998,1,611,2,3,87,5.326968
SU,3,1999,2,1997,1,612,0,1,66,5.326968
LL,1,1999,2,1997,1,614,2,4,89,5.326968
KL,1,1999,2,1997,1,615,2,3,97,5.326968
KL,1,1999,1,1998,1,616,0,3,105,5.326968
KL,1,1999,2,1997,1,617,2,4,97,5.326968
KL,1,1999,2,1997,1,618,2,3,102,5.326968
LL,1,1999,2,1997,1,619,2,3,89,5.326968
KL,1,1999,2,1997,1,620,2,3,108,5.326968
LL,1,1999,2,1997,1,621,0,3,91,5.326968
KL,1,1999,2,1997,1,626,0,3,98,5.326968
SU,1,1999,2,1997,1,628,0,3,100,5.326968
SU,3,1999,3,1996,1,629,,2,89,5.326968
KL,1,1999,2,1997,1,630,0,3,95,5.326968
SU,1,1999,1,1998,1,631,0,3,98,5.326968
SU,1,1999,2,1997,1,632,0,3,94,5.326968
KL,1,1999,2,1997,1,640,,3,102,5.326968
LL,1,1999,4,1995,1,642,,3,92,5.326968
LL,1,1999,2,1997,1,643,2,2,104,5.326968
LL,1,1999,2,1997,1,644,2,2,87,5.326968
LL,1,1999,4,1995,1,646,2,4,84,5.326968
LL,4,1999,2,1997,1,647,0,2,102,5.326968
LL,1,1999,2,1997,1,648,2,3,98,5.326968
LL,1,1999,2,1997,1,649,2,3,99,5.326968
LL,1,1999,2,1997,1,651,2,2,95,5.326968
LL,1,1999,2,1997,1,652,2,4,116,5.326968
LL,1,1999,2,1997,1,653,0,3,107,5.326968
KL,4,1999,2,1997,1,654,0,3,110,5.326968
LL,1,1999,2,1997,1,655,2,3,113,5.326968
LL,1,1999,2,1997,1,656,0,1,91,5.326968
SU,1,1999,2,1997,1,657,0,1,90,5.326968
LL,1,1999,2,1997,1,660,0,2,80,5.326968
KL,1,1999,4,1995,1,680,0,4,86,5.326968
SU,1,1999,4,1995,1,683,0,4,84,5.326968
SU,1,1999,2,1997,1,700,0,3,107,5.326968
SU,1,1999,4,1995,1,706,0,4,87,5.326968
LL,1,1999,2,1997,1,708,0,2,88,5.326968
SU,1,2000,3,1997,1,8,3,3,156,2.0894
SU,1,2000,3,1997,1,9,2,3,122,2.0894
SU,1,2000,3,1997,1,173,2,4,156,2.0894
SU,1,2000,5,1995,1,184,0,1,125,2.0894
KL,1,2000,5,1995,1,197,2,3,133,2.0894
AG,1,2000,,2000,1,270,3,3,106,2.0894
AG,2,2000,,2000,1,274,,0,112,2.0894
KL,1,2000,2,1998,1,304,2,3,102,2.0894
SU,1,2000,2,1998,1,307,0,3,117,2.0894
SU,4,2000,2,1998,1,308,2,2,107,2.0894
KL,1,2000,2,1998,1,311,2,3,116,2.0894
KL,1,2000,2,1998,1,313,2,3,119,2.0894
KL,1,2000,2,1998,1,314,2,2,101,2.0894
KL,1,2000,3,1997,1,315,2,3,120,2.0894
LL,1,2000,2,1998,1,322,2,3,124,2.0894
LL,1,2000,2,1998,1,327,5,3,111,2.0894
KL,1,2000,2,1998,1,332,2,3,114,2.0894
KL,1,2000,2,1998,1,333,2,3,108,2.0894
SU,1,2000,2,1998,1,339,0,3,134,2.0894
SU,1,2000,2,1998,1,342,0,3,125,2.0894
SU,1,2000,5,1995,1,378,0,2,123,2.0894
SU,6,2000,5,1995,1,380,0,3,99,2.0894
KL,1,2000,7,1993,1,451,0,1,112,2.0894
KL,1,2000,7,1993,1,452,0,2,125,2.0894
KL,1,2000,5,1995,1,457,0,2,126,2.0894
KL,1,2000,5,1995,1,462,0,3,128,2.0894
KL,1,2000,4,1996,1,464,3,2,105,2.0894
KL,1,2000,5,1995,1,468,0,3,91,2.0894
KL,1,2000,5,1995,1,470,0,3,113,2.0894
KL,1,2000,6,1994,1,474,0,3,104,2.0894
KL,1,2000,3,1997,1,475,2,2,108,2.0894
KL,1,2000,5,1995,1,478,0,3,108,2.0894
KL,1,2000,4,1996,1,480,2,3,108,2.0894
LL,1,2000,5,1995,1,482,0,3,138,2.0894
KL,1,2000,3,1997,1,485,0,3,97,2.0894
LL,1,2000,4,1996,1,488,5,3,121,2.0894
KL,1,2000,2,1998,1,493,2,2,111,2.0894
KL,1,2000,2,1998,1,494,0,1,101,2.0894
KL,1,2000,2,1998,1,516,2,2,108,2.0894
KL,1,2000,2,1998,1,518,2,2,108,2.0894
KL,1,2000,2,1998,1,525,,3,158,2.0894
KL,1,2000,3,1997,1,541,2,2,120,2.0894
KL,1,2000,4,1996,1,547,3,2,133,2.0894
SU,1,2000,4,1996,1,550,0,3,125,2.0894
AG,2,2000,,2000,1,552,,0,130,2.0894
LL,7,2000,4,1996,1,556,0,0,165,2.0894
KL,1,2000,3,1997,1,562,2,2,109,2.0894
SU,7,2000,3,1997,1,566,0,0,140,2.0894
KL,1,2000,3,1997,1,569,0,2,140,2.0894
SU,1,2000,3,1997,1,572,2,3,144,2.0894
SU,1,2000,3,1997,1,575,2,3,157,2.0894
KL,1,2000,3,1997,1,579,2,3,128,2.0894
KL,1,2000,2,1998,1,585,0,3,101,2.0894
KL,1,2000,3,1997,1,589,0,3,103,2.0894
SU,1,2000,3,1997,1,595,3,4,106,2.0894
KL,1,2000,3,1997,1,598,0,2,99,2.0894
LL,1,2000,2,1998,1,613,7,2,121,2.0894
LL,1,2000,3,1997,1,614,6,3,148,2.0894
KL,1,2000,2,1998,1,616,2,3,110,2.0894
KL,1,2000,3,1997,1,620,0,2,115,2.0894
LL,4,2000,2,1998,1,624,0,3,142,2.0894
KL,1,2000,3,1997,1,625,2,3,168,2.0894
SU,1,2000,2,1998,1,627,3,3,115,2.0894
SU,1,2000,3,1997,1,628,3,4,115,2.0894
LL,1,2000,3,1997,1,643,4,3,138,2.0894
LL,1,2000,3,1997,1,648,5,3,132,2.0894
SU,1,2000,4,1996,1,659,0,2,135,2.0894
LL,1,2000,3,1997,1,661,3,2,105,2.0894
LL,1,2000,3,1997,1,662,4,4,131,2.0894
SU,1,2000,3,1997,1,665,0,3,130,2.0894
AG,3,2000,,2000,1,666,,0,118,2.0894
LL,1,2000,3,1997,1,667,6,1,120,2.0894
AG,1,2000,,2000,1,668,4,3,103,2.0894
AG,1,2000,,2000,1,669,2,3,123,2.0894
AG,1,2000,,2000,1,671,3,2,110,2.0894
AG,1,2000,,2000,1,672,3,2,119,2.0894
AG,1,2000,,2000,1,673,5,2,104,2.0894
AG,1,2000,,2000,1,674,4,3,119,2.0894
AG,1,2000,2,1998,1,675,4,3,112,2.0894
AG,1,2000,,2000,1,677,5,3,112,2.0894
AG,1,2000,,2000,1,678,7,2,117,2.0894
KL,1,2000,2,1998,1,679,2,3,120,2.0894
KL,2,2000,5,1995,1,680,,0,102,2.0894
LL,1,2000,2,1998,1,690,4,3,110,2.0894
LL,1,2000,2,1998,1,691,4,2,120,2.0894
AG,1,2000,,2000,1,692,2,3,121,2.0894
KL,1,2000,2,1998,1,694,0,1,91,2.0894
SU,1,2000,3,1997,1,700,2,3,123,2.0894
LL,1,2000,3,1997,1,708,3,3,111,2.0894
SU,2,2000,4,1996,1,758,,0,146,2.0894
SU,1,2001,4,1997,1,8,0,3,114,0.712215
SU,1,2001,4,1997,1,9,,3,112,0.712215
SU,1,2001,4,1997,1,173,,4,125,0.712215
SU,1,2001,6,1995,1,184,,3,121,0.712215
SU,1,2001,3,1998,1,303,,3,126,0.712215
KL,1,2001,3,1998,1,304,0,5,138,0.712215
SU,1,2001,3,1998,1,308,,4,128,0.712215
KL,2,2001,3,1998,1,309,,0,138,0.712215
KL,1,2001,3,1998,1,310,0,3,128,0.712215
KL,1,2001,3,1998,1,312,0,4,125,0.712215
KL,1,2001,3,1998,1,313,0,4,120,0.712215
KL,1,2001,4,1997,1,315,0,4,129,0.712215
KL,1,2001,3,1998,1,316,0,3,123,0.712215
SU,1,2001,3,1998,1,317,,4,119,0.712215
SU,1,2001,3,1998,1,320,,5,114,0.712215
SU,1,2001,3,1998,1,321,,4,122,0.712215
KL,1,2001,3,1998,1,330,0,4,133,0.712215
KL,1,2001,3,1998,1,333,0,4,127,0.712215
KL,1,2001,3,1998,1,335,0,0,125,0.712215
KL,1,2001,3,1998,1,336,0,3,136,0.712215
SU,2,2001,4,1997,1,338,,0,125,0.712215
SU,1,2001,3,1998,1,339,,4,129,0.712215
SU,1,2001,3,1998,1,340,,5,125,0.712215
SU,1,2001,3,1998,1,342,,4,104,0.712215
KL,1,2001,3,1998,1,344,0,3,130,0.712215
KL,1,2001,8,1993,1,451,0,1,127,0.712215
KL,1,2001,6,1995,1,468,0,5,112,0.712215
KL,1,2001,5,1996,1,480,0,4,118,0.712215
KL,1,2001,5,1996,1,484,0,4,119,0.712215
KL,1,2001,4,1997,1,485,0,3,122,0.712215
SU,1,2001,3,1998,1,487,,4,122,0.712215
KL,1,2001,3,1998,1,491,0,4,107,0.712215
KL,1,2001,3,1998,1,492,0,2,133,0.712215
KL,1,2001,3,1998,1,516,0,3,120,0.712215
SU,1,2001,6,1995,1,529,,4,124,0.712215
SU,1,2001,6,1995,1,534,,3,123,0.712215
SU,1,2001,5,1996,1,550,,3,130,0.712215
SU,1,2001,4,1997,1,566,,1,129,0.712215
KL,1,2001,4,1997,1,567,0,2,112,0.712215
KL,2,2001,4,1997,1,568,0,0,129,0.712215
SU,1,2001,4,1997,1,572,,3,117,0.712215
SU,1,2001,4,1997,1,575,,3,141,0.712215
SU,1,2001,3,1998,1,581,,3,123,0.712215
KL,1,2001,3,1998,1,584,0,3,137,0.712215
KL,1,2001,3,1998,1,585,0,4,119,0.712215
SU,1,2001,4,1997,1,588,,4,110,0.712215
SU,1,2001,4,1997,1,595,,4,121,0.712215
SU,1,2001,3,1998,1,597,,3,140,0.712215
SU,1,2001,3,1998,1,606,,3,124,0.712215
KL,1,2001,3,1998,1,607,0,2,126,0.712215
KL,1,2001,3,1998,1,608,0,3,119,0.712215
KL,1,2001,3,1998,1,609,0,4,118,0.712215
KL,1,2001,3,1998,1,610,0,4,126,0.712215
KL,1,2001,3,1998,1,616,0,3,135,0.712215
KL,1,2001,4,1997,1,620,0,3,117,0.712215
SU,1,2001,3,1998,1,623,,3,144,0.712215
KL,1,2001,4,1997,1,625,0,4,125,0.712215
SU,1,2001,4,1997,1,628,,4,120,0.712215
SU,1,2001,4,1997,1,635,,3,133,0.712215
SU,1,2001,3,1998,1,636,,4,128,0.712215
SU,1,2001,3,1998,1,637,,3,129,0.712215
SU,1,2001,3,1998,1,637,,3,129,0.712215
KL,7,2001,4,1997,1,638,0,0,122,0.712215
KL,1,2001,4,1997,1,639,0,4,120,0.712215
SU,1,2001,3,1998,1,641,,2,134,0.712215
SU,1,2001,3,1998,1,650,,2,120,0.712215
KL,1,2001,3,1998,1,658,0,3,118,0.712215
SU,1,2001,2,1999,1,664,,4,145,0.712215
SU,1,2001,5,1996,1,683,,4,168,0.712215
SU,1,2001,3,1998,1,684,,2,106,0.712215
SU,1,2001,1,2000,1,686,,2,113,0.712215
SU,1,2001,4,1997,1,700,,4,123,0.712215
KL,1,2001,2,1999,1,702,0,2,141,0.712215
KL,1,2001,2,1999,1,705,0,3,128,0.712215
KL,1,2001,2,1999,1,707,0,4,131,0.712215
SU,1,2001,2,1999,1,710,,3,155,0.712215
