Country,mamm.t,bird.t,logarea,logGNP,logdomes,logprot,logorig,lgmammen,lgbirden,lgmammsp,lgbirdsp
Pakistan                    ,13,25,11.25,6.13,3.56,1.76,1.92,1.61,0.00,5.02,5.93
Philippines                 ,49,86,10.30,6.96,3.61,1.77,1.95,4.60,5.22,5.04,5.98
Namibia                     ,11,8,11.32,7.60,3.87,2.63,4.56,1.39,0.69,5.04,6.15
Senegal                     ,13,6,9.87,6.40,3.76,2.51,2.83,0.00,0.00,5.05,5.95
Botswana                    ,5,7,10.95,8.01,3.85,2.97,4.62,0.00,0.00,5.11,5.96
Nepal                       ,28,27,9.57,5.30,3.47,2.17,3.15,0.69,1.10,5.12,6.42
Honduras                    ,7,4,9.32,6.40,3.50,2.39,3.96,0.69,0.69,5.16,6.05
Mozambique                  ,13,14,11.27,4.39,4.11,1.96,2.71,0.69,0.00,5.19,6.21
Suriname                    ,10,2,9.66,6.78,0.69,1.74,4.57,0.00,0.00,5.20,6.40
Benin                       ,9,1,9.31,5.92,3.09,2.08,1.61,0.00,0.00,5.24,5.73
Guinea                      ,11,12,10.11,6.31,3.87,0.53,1.79,0.69,0.00,5.25,6.02
Gabon                       ,12,4,10.16,8.16,3.04,1.34,4.51,1.10,0.00,5.25,6.15
Guyana                      ,10,3,9.89,6.38,2.30,0.26,4.59,0.69,0.00,5.27,6.52
Canada                      ,7,5,13.73,9.87,2.20,2.40,4.52,2.08,1.39,5.27,6.06
Malawi                      ,7,9,9.15,5.14,3.66,2.51,0.00,0.00,0.00,5.28,6.26
Togo                        ,8,1,8.60,5.74,3.89,2.19,2.08,0.69,0.00,5.28,5.97
"Congo, Rep                  ",10,3,10.44,6.52,2.40,1.70,4.23,0.69,0.00,5.30,6.11
Nicaragua                   ,4,3,9.40,5.94,4.13,2.13,3.81,1.10,0.00,5.30,6.18
Costa Rica                  ,14,13,8.54,7.87,4.04,2.69,3.58,1.95,2.08,5.33,6.40
Central African Rep         ,11,2,11.04,5.83,2.20,2.22,2.83,1.10,0.00,5.35,6.29
Vietnam                     ,38,47,10.39,5.48,3.14,1.41,2.90,1.95,2.40,5.37,6.28
Papua New Guinea            ,57,31,10.72,7.06,0.69,0.00,4.46,4.09,4.39,5.37,6.47
Panama                      ,17,10,8.92,7.92,3.40,3.00,4.14,2.71,2.20,5.39,6.60
Ghana                       ,13,10,10.03,5.97,4.06,1.76,2.30,0.69,0.69,5.41,6.27
Zambia                      ,11,10,11.22,5.99,3.87,2.26,4.26,1.39,0.69,5.44,6.41
Cote dIvoire               ,16,12,10.37,6.49,4.01,1.97,2.40,0.69,0.00,5.44,6.28
South Africa                ,33,16,11.71,8.06,4.38,1.86,0.00,3.33,2.20,5.51,6.39
Guatemala                   ,8,4,9.29,7.20,3.76,2.88,3.85,1.39,0.69,5.53,6.13
Ethiopia                    ,35,20,11.61,4.62,3.47,1.87,2.89,3.47,3.37,5.55,6.44
Thailand                    ,34,45,10.84,7.92,3.76,2.65,3.14,2.08,1.39,5.58,6.42
Russian Federation          ,31,38,14.34,7.71,2.64,1.41,4.25,3.00,2.64,5.60,6.44
Zimbabwe                    ,9,9,10.56,6.29,3.97,2.19,4.22,0.69,0.00,5.60,6.28
Nigeria                     ,26,9,11.42,5.56,4.39,1.46,2.48,1.95,1.10,5.62,6.53
Angola                      ,17,13,11.73,6.02,3.85,2.03,2.77,2.08,2.64,5.62,6.64
Malaysia                    ,42,34,10.40,8.27,3.22,1.70,4.17,3.37,2.30,5.66,6.22
Cameroon                    ,32,14,10.75,6.48,3.00,1.70,3.76,2.64,2.20,5.70,6.54
Ecuador                     ,28,53,10.23,7.24,3.40,3.79,4.21,3.22,3.66,5.71,7.24
Paraguay                    ,10,26,10.59,7.43,4.11,1.50,3.82,1.10,0.00,5.72,6.32
Venezuela                   ,24,22,11.39,8.01,3.26,3.62,4.44,2.89,3.76,5.72,7.07
Tanzania                    ,33,30,11.39,4.80,3.81,2.81,2.30,2.56,3.22,5.76,6.71
India                       ,75,73,12.60,5.83,4.13,1.76,3.07,3.83,4.03,5.76,6.83
Argentina                   ,27,41,12.52,8.99,4.14,0.99,4.10,3.91,3.00,5.77,6.80
Uganda                      ,18,10,9.90,5.48,3.78,2.36,1.61,1.95,1.39,5.83,6.72
Peru                        ,46,64,11.76,7.75,3.22,1.31,4.47,3.89,4.70,5.84,7.34
Kenya                       ,43,24,10.95,5.64,3.83,1.97,3.00,3.09,1.95,5.89,6.74
Colombia                    ,35,64,11.55,7.56,3.83,2.30,4.00,3.40,4.16,5.89,7.44
China                       ,75,90,13.74,6.43,3.99,2.00,3.12,4.36,4.23,5.98,7.00
Brazil                      ,71,103,13.65,8.20,3.40,1.65,4.21,4.62,5.20,5.98,7.31
"Congo, Dem Rep              ",38,26,12.33,4.80,3.43,1.70,4.12,3.37,3.14,6.03,6.84
Indonesia                   ,128,104,12.11,6.89,3.18,2.37,4.18,5.33,5.98,6.08,7.33
Mexico                      ,64,36,12.16,8.11,4.03,1.22,4.17,4.95,4.50,6.11,6.65
