LayDay,clutch,bin,postlay,clutch.size,eggcode,eggmass,post.eggmass,dam.oby,hatch
98,1,105,4.96,4,C,0.49,0.49,bb,1
149,3,178,5.66,7,C,0.48,0.48,bb,1
149,3,178,5.66,7,C,0.48,0.48,bb,1
154,3,148,4.97,6,C,0.48,0.48,bb,1
154,3,148,4.97,6,C,0.48,0.48,bb,1
94,1,113,4.46,3,C,0.48,0.48,bb,1
125,1,127,4.9,6,C,0.47,0.47,bb,1
125,1,127,4.9,6,C,0.47,0.47,bb,1
98,1,122,4.44,5,C,0.47,0.47,bb,1
124,2,128,5.16,5,C,0.47,0.47,bb,1
119,2,145,5.35,5,C,0.47,0.47,bb,1
157,2,166,5.84,5,C,0.47,0.47,bb,1
94,1,127,4.34,4,C,0.47,0.47,bb,1
145,2,137,4.4,4,C,0.47,0.47,bb,1
167,2,129,4.45,4,C,0.47,0.47,bb,1
149,3,178,5.66,7,C,0.46,0.46,bb,1
95,1,128,4.63,6,C,0.46,0.46,bb,1
125,1,127,4.9,6,C,0.46,0.46,bb,1
75,1,102,4.56,5,C,0.46,0.46,bb,0
124,2,128,5.16,5,C,0.46,0.46,bb,1
125,2,173,5.32,5,C,0.46,0.46,bb,1
167,2,129,4.45,4,C,0.46,0.46,bb,1
95,1,128,4.63,6,C,0.45,0.45,bb,1
98,1,122,4.44,5,C,0.45,0.45,bb,1
159,2,113,4.47,5,C,0.45,0.45,bb,1
121,2,139,4.57,5,C,0.45,0.45,bb,1
124,2,128,5.16,5,C,0.45,0.45,bb,1
125,2,173,5.32,5,C,0.45,0.45,bb,1
119,2,145,5.35,5,C,0.45,0.45,bb,1
114,1,171,5.86,4,C,0.45,0.45,bb,1
114,1,171,5.86,4,C,0.45,0.45,bb,1
125,1,127,4.9,6,C,0.44,0.44,bb,1
97,1,154,4.3,5,C,0.44,0.44,bb,1
75,1,102,4.56,5,C,0.44,0.44,bb,0
121,2,139,4.57,5,C,0.44,0.44,bb,0
118,2,122,4.67,5,C,0.44,0.44,bb,1
156,3,128,4.92,5,C,0.44,0.44,bb,1
135,2,158,4.96,5,C,0.44,0.44,bb,1
135,2,158,4.96,5,C,0.44,0.44,bb,1
142,2,163,5.05,5,C,0.44,0.44,bb,1
142,2,163,5.05,5,C,0.44,0.44,bb,1
125,2,173,5.32,5,C,0.44,0.44,bb,1
157,2,166,5.84,5,C,0.44,0.44,bb,1
127,2,162,4.12,4,C,0.44,0.44,bb,1
180,2,122,5.18,4,C,0.44,0.44,bb,0
95,1,128,4.63,6,C,0.43,0.43,bb,1
97,1,173,5.15,6,C,0.43,0.43,bb,1
97,1,173,5.15,6,C,0.43,0.43,bb,1
146,2,167,4.09,5,C,0.43,0.43,bb,1
97,1,154,4.3,5,C,0.43,0.43,bb,1
97,1,154,4.3,5,C,0.43,0.43,bb,1
98,1,122,4.44,5,C,0.43,0.43,bb,1
75,1,102,4.56,5,C,0.43,0.43,bb,0
143,2,105,5.4,5,C,0.43,0.43,bb,1
157,3,137,4.33,4,C,0.43,0.43,bb,1
94,1,127,4.34,4,C,0.43,0.43,bb,1
95,1,128,4.63,6,C,0.42,0.42,bb,1
97,1,173,5.15,6,C,0.42,0.42,bb,1
159,3,173,5.18,6,C,0.42,0.42,bb,1
135,2,158,4.96,5,C,0.42,0.42,bb,1
142,2,163,5.05,5,C,0.42,0.42,bb,0
119,2,145,5.35,5,C,0.42,0.42,bb,1
157,2,166,5.84,5,C,0.42,0.42,bb,1
170,3,113,4.47,3,C,0.42,0.42,bb,0
95,1,152,4.4,6,C,0.41,0.41,bb,0
95,1,158,4.95,6,C,0.41,0.41,bb,1
95,1,158,4.95,6,C,0.41,0.41,bb,1
95,1,158,4.95,6,C,0.41,0.41,bb,1
95,1,158,4.95,6,C,0.41,0.41,bb,1
146,2,167,4.09,5,C,0.41,0.41,bb,1
146,2,167,4.09,5,C,0.41,0.41,bb,0
121,2,139,4.57,5,C,0.41,0.41,bb,1
143,2,105,5.4,5,C,0.41,0.41,bb,1
93,1,148,4.07,6,C,0.4,0.4,bb,1
93,1,148,4.07,6,C,0.4,0.4,bb,1
95,1,152,4.4,6,C,0.4,0.4,bb,1
97,1,173,5.15,6,C,0.4,0.4,bb,1
159,3,173,5.18,6,C,0.4,0.4,bb,1
92,1,137,4.04,5,C,0.4,0.4,bb,0
93,1,148,4.07,6,C,0.39,0.39,bb,1
95,1,152,4.4,6,C,0.39,0.39,bb,1
159,3,173,5.18,6,C,0.39,0.39,bb,1
159,3,173,5.18,6,C,0.39,0.39,bb,1
92,1,137,4.04,5,C,0.39,0.39,bb,1
92,1,137,4.04,5,C,0.39,0.39,bb,0
92,1,162,4.13,5,C,0.39,0.39,bb,0
92,1,162,4.13,5,C,0.39,0.39,bb,0
93,1,148,4.07,6,C,0.38,0.38,bb,1
95,1,152,4.4,6,C,0.38,0.38,bb,1
83,1,111,4.72,5,C,0.38,0.38,bb,1
143,2,105,5.4,5,C,0.38,0.38,bb,1
105,1,167,4.08,5,C,0.37,0.37,bb,1
92,1,162,4.13,5,C,0.37,0.37,bb,0
83,1,111,4.72,5,C,0.37,0.37,bb,0
121,2,178,5.71,7,C,0.36,0.36,bb,0
121,2,178,5.71,7,C,0.36,0.36,bb,0
94,1,166,4.86,8,C,0.35,0.35,bb,0
94,1,166,4.86,8,C,0.35,0.35,bb,0
94,1,166,4.86,8,C,0.35,0.35,bb,1
94,1,166,4.86,8,C,0.34,0.34,bb,1
94,1,166,4.86,8,C,0.32,0.32,bb,0
105,1,167,4.08,5,C,0.32,0.32,bb,0
94,1,166,4.86,8,C,0.3,0.3,bb,0
121,2,178,5.71,7,C,0.26,0.26,bb,0
138,2,174,5.28,4,M,0.61,0.53,bo,1
155,2,162,4.11,4,M,0.6,0.53,bo,0
87,1,120,5.83,4,M,0.53,0.53,bo,0
117,1,112,4.01,3,M,0.53,0.53,bo,1
146,3,120,5.52,5,M,0.61,0.51,bo,0
172,3,121,6.21,3,M,0.6,0.49,bo,1
146,3,120,5.52,5,M,0.59,0.49,bo,0
138,2,174,5.28,4,M,0.59,0.49,bo,1
117,2,120,5.45,4,M,0.59,0.47,bo,0
117,2,120,5.45,4,M,0.57,0.47,bo,0
180,3,166,6.2,4,M,0.47,0.47,bo,0
104,1,151,5.64,5,M,0.53,0.46,bo,1
170,3,143,4.51,4,M,0.46,0.46,bo,0
109,2,117,4.65,4,M,0.46,0.46,bo,1
154,3,130,5.7,5,M,0.56,0.45,bo,0
104,1,151,5.64,5,M,0.55,0.44,bo,1
154,3,130,5.7,5,M,0.54,0.44,bo,1
124,2,112,4.57,4,M,0.52,0.44,bo,0
87,1,120,5.83,4,M,0.52,0.44,bo,0
140,2,151,4.61,5,M,0.44,0.44,bo,1
155,2,162,4.11,4,M,0.57,0.43,bo,1
117,1,112,4.01,3,M,0.53,0.43,bo,1
155,3,158,5.1,5,M,0.51,0.43,bo,0
155,3,158,5.1,5,M,0.49,0.43,bo,0
92,1,112,4.51,4,M,0.52,0.42,bo,0
160,3,159,5.08,4,M,0.5,0.42,bo,1
92,1,112,4.51,4,M,0.49,0.42,bo,0
170,2,107,5.72,3,M,0.49,0.42,bo,1
140,2,151,4.61,5,M,0.42,0.42,bo,1
143,2,151,5.21,7,M,0.5,0.41,bo,1
119,2,121,5.26,5,M,0.5,0.41,bo,1
124,2,112,4.57,4,M,0.5,0.41,bo,1
132,2,146,5.06,4,M,0.49,0.41,bo,1
146,3,116,5.4,5,M,0.48,0.41,bo,1
