LayDay,clutch,bin,postlay,clutch.size,eggcode,eggmass,post.eggmass,dam.oby,hatch
86,1,109,4.12,5,C,0.34,0.34,bo,1
116,1,156,4.11,4,C,0.34,0.34,bo,1
108,1,106,4.96,4,C,0.34,0.34,bo,1
87,1,143,4.81,5,C,0.33,0.33,bo,0
87,1,143,4.81,5,C,0.33,0.33,bo,0
84,1,102,5.48,5,C,0.33,0.33,bo,0
116,1,156,4.11,4,C,0.33,0.33,bo,1
94,1,114,4.72,4,C,0.33,0.33,bo,1
86,1,109,4.12,5,C,0.32,0.32,bo,0
159,2,109,3.67,4,C,0.3,0.3,bo,1
94,1,114,4.72,4,C,0.34,0.29,bo,0
87,1,143,4.81,5,C,0.29,0.29,bo,0
138,2,166,5.56,6,C,0.45,0.27,bo,1
93,1,153,4.97,6,C,0.27,0.27,bo,0
159,2,109,3.67,4,C,0.26,0.26,bo,1
153,3,155,5.57,4,M,0.65,0.53,by,1
173,4,117,4.68,3,M,0.5,0.5,by,1
146,3,106,6.11,5,M,0.6,0.49,by,1
141,2,119,4.08,4,M,0.57,0.49,by,0
146,3,106,6.11,5,M,0.58,0.48,by,1
101,1,103,5.88,2,M,0.57,0.48,by,0
146,2,103,5.15,4,M,0.62,0.47,by,0
146,2,103,5.15,4,M,0.6,0.47,by,0
102,2,116,6.33,3,M,0.56,0.45,by,0
97,1,104,4.81,2,M,0.57,0.44,by,1
118,2,151,5.97,6,M,0.51,0.44,by,0
129,2,104,4.77,4,M,0.53,0.43,by,1
75,1,116,5.07,5,M,0.5,0.43,by,0
90,1,151,5.46,5,M,0.43,0.43,by,1
130,1,103,4.09,4,M,0.55,0.42,by,1
75,1,108,4.79,5,M,0.53,0.42,by,0
167,2,115,3.5,4,M,0.53,0.42,by,1
126,2,123,4.01,3,M,0.52,0.42,by,0
99,1,159,4.72,4,M,0.5,0.42,by,1
75,1,108,4.79,5,M,0.49,0.42,by,0
130,1,103,4.09,4,M,0.49,0.42,by,0
118,2,151,5.97,6,M,0.48,0.42,by,0
147,3,151,7.22,4,M,0.53,0.41,by,1
140,3,108,4.96,4,M,0.52,0.41,by,1
119,2,106,5.65,5,M,0.51,0.41,by,1
98,2,108,4.76,4,M,0.51,0.41,by,0
129,2,104,4.77,4,M,0.51,0.41,by,1
147,3,151,7.22,4,M,0.51,0.41,by,1
119,2,106,5.65,5,M,0.5,0.41,by,1
137,2,147,5.43,6,M,0.49,0.41,by,1
122,1,124,4.44,4,M,0.46,0.41,by,1
140,3,108,4.96,4,M,0.53,0.4,by,0
157,2,104,5.05,5,M,0.51,0.4,by,1
75,1,116,5.07,5,M,0.5,0.4,by,0
87,1,115,4.12,4,M,0.5,0.4,by,0
98,2,108,4.76,4,M,0.5,0.4,by,0
138,2,138,4.83,6,M,0.48,0.4,by,0
173,4,117,4.68,3,M,0.48,0.4,by,1
79,1,103,4.27,4,M,0.47,0.4,by,1
94,1,158,5.55,4,M,0.47,0.4,by,1
127,1,138,4.75,6,M,0.46,0.4,by,1
76,1,117,3.65,4,M,0.46,0.4,by,1
167,2,115,3.5,4,M,0.5,0.39,by,1
86,1,106,5.83,6,M,0.49,0.39,by,0
98,1,152,4.5,4,M,0.48,0.39,by,1
142,2,133,4.8,6,M,0.47,0.39,by,1
157,2,104,5.05,5,M,0.46,0.39,by,0
126,2,123,4.01,3,M,0.51,0.38,by,0
141,2,119,4.08,4,M,0.49,0.38,by,0
100,1,159,4.46,5,M,0.47,0.38,by,1
87,1,115,4.12,4,M,0.47,0.38,by,0
98,1,152,4.5,4,M,0.47,0.38,by,1
98,1,119,3.91,3,M,0.47,0.38,by,1
122,2,108,5.22,5,M,0.44,0.38,by,1
94,1,153,4.8,5,M,0.43,0.38,by,1
121,2,166,5.49,6,M,0.47,0.37,by,1
113,2,134,5.2,5,M,0.46,0.37,by,0
139,2,176,4.21,4,M,0.45,0.37,by,0
78,1,108,4.33,4,M,0.45,0.37,by,1
99,1,159,4.72,4,M,0.45,0.37,by,1
94,1,153,4.8,5,M,0.43,0.37,by,0
129,2,149,5.4,5,M,0.47,0.36,by,1
129,2,149,5.4,5,M,0.47,0.36,by,1
154,2,152,4.86,3,M,0.47,0.36,by,1
116,2,155,4.66,5,M,0.45,0.36,by,1
113,2,134,5.2,5,M,0.45,0.36,by,1
142,2,133,4.8,6,M,0.44,0.36,by,0
139,2,135,4.43,3,M,0.44,0.36,by,1
122,1,124,4.44,4,M,0.43,0.36,by,0
122,2,108,5.22,5,M,0.41,0.36,by,1
115,2,103,4.17,4,M,0.41,0.36,by,0
137,2,147,5.43,6,M,0.46,0.35,by,1
138,2,138,4.83,6,M,0.45,0.35,by,1
135,2,123,5.58,6,M,0.45,0.35,by,0
96,1,138,4.46,5,M,0.45,0.35,by,1
147,2,136,4.35,4,M,0.45,0.35,by,0
154,2,152,4.86,3,M,0.45,0.35,by,1
100,1,159,4.46,5,M,0.44,0.35,by,1
101,2,117,4.26,4,M,0.43,0.35,by,1
134,2,170,4.76,5,M,0.42,0.35,by,1
99,1,177,3.94,4,M,0.42,0.35,by,1
127,1,138,4.75,6,M,0.41,0.35,by,1
86,1,106,5.83,6,M,0.46,0.34,by,0
135,2,123,5.58,6,M,0.44,0.34,by,0
116,2,155,4.66,5,M,0.44,0.34,by,1
96,1,138,4.46,5,M,0.43,0.34,by,1
102,1,123,5.53,5,M,0.43,0.34,by,1
102,1,176,5.12,6,M,0.42,0.34,by,1
95,1,166,5.93,6,M,0.42,0.34,by,1
105,1,157,3.78,5,M,0.42,0.34,by,1
99,1,147,5.8,5,M,0.41,0.34,by,1
99,1,147,5.8,5,M,0.41,0.34,by,1
147,2,136,4.35,4,M,0.41,0.34,by,1
115,2,103,4.17,4,M,0.38,0.34,by,0
121,2,166,5.49,6,M,0.45,0.33,by,1
78,1,104,4.85,5,M,0.45,0.33,by,0
133,2,155,5.04,5,M,0.45,0.33,by,1
102,1,176,5.12,6,M,0.42,0.33,by,1
134,3,116,5.11,6,M,0.4,0.33,by,0
155,3,166,5.91,6,M,0.4,0.33,by,0
134,2,170,4.76,5,M,0.4,0.33,by,1
95,1,32,4.59,9,M,0.33,0.33,by,0
133,2,155,5.04,5,M,0.44,0.32,by,1
102,1,123,5.53,5,M,0.42,0.32,by,1
108,1,134,3.4,4,M,0.42,0.32,by,0
78,1,104,4.85,5,M,0.41,0.32,by,1
101,2,117,4.26,4,M,0.4,0.32,by,0
99,1,176,4.52,6,M,0.38,0.32,by,0
99,1,177,3.94,4,M,0.38,0.32,by,1
135,2,176,5.08,4,M,0.43,0.31,by,1
78,1,108,4.33,4,M,0.41,0.31,by,0
133,3,116,5.11,6,M,0.39,0.31,by,1
133,3,116,5.11,6,M,0.39,0.31,by,0
97,1,152,4.5,6,M,0.38,0.31,by,1
98,1,19,4.28,6,M,0.37,0.31,by,1
145,1,109,4.16,6,M,0.31,0.31,by,0
108,1,134,3.4,4,M,0.4,0.3,by,1
149,2,159,4.9,6,M,0.39,0.3,by,1
98,1,127,3.99,5,M,0.39,0.3,by,1
92,1,149,5.63,5,M,0.39,0.3,by,1
149,2,159,4.9,6,M,0.38,0.3,by,1
92,1,149,5.63,5,M,0.38,0.3,by,0
89,1,155,4.69,6,M,0.37,0.3,by,1
157,3,136,4.75,4,M,0.37,0.3,by,1
87,1,108,4.7,6,M,0.37,0.29,by,1
95,1,166,5.93,6,M,0.37,0.29,by,0
98,1,127,3.99,5,M,0.37,0.29,by,0
151,2,19,4.44,5,M,0.36,0.29,by,0
95,1,32,4.59,9,M,0.35,0.28,by,1
89,1,155,4.69,6,M,0.35,0.28,by,1
93,1,140,4.42,3,M,0.31,0.28,by,0
92,1,132,3.69,4,M,0.36,0.27,by,1
97,1,152,4.5,6,M,0.35,0.27,by,1
171,3,134,5.82,6,M,0.34,0.27,by,0
92,1,132,3.69,4,M,0.32,0.27,by,1
87,1,108,4.7,6,M,0.35,0.26,by,0
99,1,176,4.52,6,M,0.33,0.26,by,0
157,3,136,4.75,4,M,0.3,0.26,by,0
109,1,33,3.8,6,M,0.33,0.25,by,1
109,1,33,3.8,6,M,0.32,0.25,by,0
109,1,33,3.8,6,M,0.32,0.25,by,0
93,1,136,4.37,6,M,0.31,0.25,by,1
151,2,19,4.44,5,M,0.35,0.23,by,0
171,3,134,5.82,6,M,0.33,0.23,by,0
145,1,109,4.16,6,M,0.29,0.2,by,0
76,1,117,3.65,4,C,0.91,0.91,by,1
76,1,117,3.65,4,C,0.91,0.91,by,1
102,2,116,6.33,3,C,0.64,0.64,by,1
102,2,116,6.33,3,C,0.63,0.63,by,1
146,3,106,6.11,5,C,0.59,0.59,by,1
146,3,106,6.11,5,C,0.59,0.59,by,1
146,3,106,6.11,5,C,0.57,0.57,by,1
146,2,103,5.15,4,C,0.56,0.56,by,0
99,1,159,4.72,4,C,0.54,0.54,by,1
157,2,104,5.05,5,C,0.53,0.53,by,1
98,2,108,4.76,4,C,0.53,0.53,by,1
173,4,117,4.68,3,C,0.53,0.53,by,1
75,1,116,5.07,5,C,0.52,0.52,by,0
130,1,23,5.49,5,C,0.52,0.52,by,0
141,2,119,4.08,4,C,0.52,0.52,by,1
138,2,138,4.83,6,C,0.51,0.51,by,1
114,2,109,4.29,4,C,0.51,0.51,by,1
140,3,108,4.96,4,C,0.51,0.51,by,1
99,1,135,4.52,2,C,0.51,0.51,by,1
75,1,108,4.79,5,C,0.5,0.5,by,0
75,1,116,5.07,5,C,0.5,0.5,by,0
119,2,106,5.65,5,C,0.5,0.5,by,1
167,2,115,3.5,4,C,0.5,0.5,by,1
98,1,152,4.5,4,C,0.5,0.5,by,0
98,2,108,4.76,4,C,0.5,0.5,by,1
129,2,104,4.77,4,C,0.5,0.5,by,1
129,2,104,4.77,4,C,0.5,0.5,by,1
118,2,151,5.97,6,C,0.49,0.49,by,1
119,2,106,5.65,5,C,0.49,0.49,by,1
119,2,106,5.65,5,C,0.49,0.49,by,1
98,1,119,3.91,3,C,0.49,0.49,by,1
98,1,119,3.91,3,C,0.49,0.49,by,1
139,2,135,4.43,3,C,0.49,0.49,by,1
142,2,133,4.8,6,C,0.48,0.48,by,1
137,2,147,5.43,6,C,0.48,0.48,by,1
137,2,147,5.43,6,C,0.48,0.48,by,1
135,2,123,5.58,6,C,0.48,0.48,by,1
86,1,106,5.83,6,C,0.48,0.48,by,0
118,2,151,5.97,6,C,0.48,0.48,by,1
118,2,151,5.97,6,C,0.48,0.48,by,0
129,2,149,5.4,5,C,0.48,0.48,by,1
114,2,109,4.29,4,C,0.48,0.48,by,1
98,1,152,4.5,4,C,0.48,0.48,by,1
140,3,108,4.96,4,C,0.48,0.48,by,1
126,2,123,4.01,3,C,0.48,0.48,by,1
142,2,133,4.8,6,C,0.47,0.47,by,1
138,2,138,4.83,6,C,0.47,0.47,by,1
114,2,110,4.97,6,C,0.47,0.47,by,1
114,2,110,4.97,6,C,0.47,0.47,by,1
121,2,166,5.49,6,C,0.47,0.47,by,1
118,2,151,5.97,6,C,0.47,0.47,by,1
75,1,116,5.07,5,C,0.47,0.47,by,0
130,1,103,4.09,4,C,0.47,0.47,by,0
87,1,115,4.12,4,C,0.47,0.47,by,0
79,1,103,4.27,4,C,0.47,0.47,by,0
78,1,108,4.33,4,C,0.47,0.47,by,1
154,2,152,4.86,3,C,0.47,0.47,by,0
138,2,138,4.83,6,C,0.46,0.46,by,1
121,2,166,5.49,6,C,0.46,0.46,by,1
135,2,123,5.58,6,C,0.46,0.46,by,1
135,2,123,5.58,6,C,0.46,0.46,by,1
105,1,157,3.78,5,C,0.46,0.46,by,1
113,2,134,5.2,5,C,0.46,0.46,by,1
167,2,115,3.5,4,C,0.46,0.46,by,1
76,1,117,3.65,4,C,0.46,0.46,by,1
130,1,103,4.09,4,C,0.46,0.46,by,0
99,1,159,4.72,4,C,0.46,0.46,by,1
127,1,138,4.75,6,C,0.45,0.45,by,1
142,2,133,4.8,6,C,0.45,0.45,by,1
114,2,110,4.97,6,C,0.45,0.45,by,1
114,2,110,4.97,6,C,0.45,0.45,by,1
137,2,147,5.43,6,C,0.45,0.45,by,1
137,2,147,5.43,6,C,0.45,0.45,by,1
121,2,166,5.49,6,C,0.45,0.45,by,1
105,1,157,3.78,5,C,0.45,0.45,by,1
100,1,159,4.46,5,C,0.45,0.45,by,1
100,1,159,4.46,5,C,0.45,0.45,by,1
116,2,155,4.66,5,C,0.45,0.45,by,1
75,1,108,4.79,5,C,0.45,0.45,by,0
113,2,134,5.2,5,C,0.45,0.45,by,1
90,1,151,5.46,5,C,0.45,0.45,by,1
87,1,115,4.12,4,C,0.45,0.45,by,0
121,2,166,5.49,6,C,0.44,0.44,by,1
86,1,106,5.83,6,C,0.44,0.44,by,1
86,1,106,5.83,6,C,0.44,0.44,by,1
105,1,157,3.78,5,C,0.44,0.44,by,1
100,1,159,4.46,5,C,0.44,0.44,by,1
116,2,155,4.66,5,C,0.44,0.44,by,1
79,1,103,4.27,4,C,0.44,0.44,by,0
159,3,132,4.3,4,C,0.44,0.44,by,0
147,2,136,4.35,4,C,0.44,0.44,by,1
122,1,124,4.44,4,C,0.44,0.44,by,1
122,1,124,4.44,4,C,0.44,0.44,by,0
142,2,133,4.8,6,C,0.43,0.43,by,1
138,2,138,4.83,6,C,0.43,0.43,by,1
149,2,159,4.9,6,C,0.43,0.43,by,1
102,1,176,5.12,6,C,0.43,0.43,by,1
96,1,138,4.46,5,C,0.43,0.43,by,0
116,2,155,4.66,5,C,0.43,0.43,by,1
78,1,104,4.85,5,C,0.43,0.43,by,0
133,2,155,5.04,5,C,0.43,0.43,by,1
122,2,108,5.22,5,C,0.43,0.43,by,1
129,2,149,5.4,5,C,0.43,0.43,by,1
102,1,123,5.53,5,C,0.43,0.43,by,1
102,1,123,5.53,5,C,0.43,0.43,by,1
101,2,117,4.26,4,C,0.43,0.43,by,1
100,1,145,4.26,4,C,0.43,0.43,by,1
159,3,132,4.3,4,C,0.43,0.43,by,1
147,2,136,4.35,4,C,0.43,0.43,by,1
99,1,176,4.52,6,C,0.42,0.42,by,1
95,1,166,5.93,6,C,0.42,0.42,by,1
94,1,153,4.8,5,C,0.42,0.42,by,1
78,1,104,4.85,5,C,0.42,0.42,by,1
133,2,155,5.04,5,C,0.42,0.42,by,1
113,2,134,5.2,5,C,0.42,0.42,by,1
129,2,149,5.4,5,C,0.42,0.42,by,1
102,1,123,5.53,5,C,0.42,0.42,by,1
99,1,147,5.8,5,C,0.42,0.42,by,1
108,1,134,3.4,4,C,0.42,0.42,by,0
139,2,176,4.21,4,C,0.42,0.42,by,0
157,3,136,4.75,4,C,0.42,0.42,by,1
99,1,176,4.52,6,C,0.41,0.41,by,1
102,1,176,5.12,6,C,0.41,0.41,by,1
102,1,176,5.12,6,C,0.41,0.41,by,1
95,1,166,5.93,6,C,0.41,0.41,by,0
95,1,166,5.93,6,C,0.41,0.41,by,1
95,1,166,5.93,6,C,0.41,0.41,by,1
96,1,138,4.46,5,C,0.41,0.41,by,1
134,2,170,4.76,5,C,0.41,0.41,by,1
94,1,153,4.8,5,C,0.41,0.41,by,1
94,1,153,4.8,5,C,0.41,0.41,by,1
122,2,108,5.22,5,C,0.41,0.41,by,1
122,2,108,5.22,5,C,0.41,0.41,by,1
99,1,147,5.8,5,C,0.41,0.41,by,1
102,1,176,5.12,6,C,0.4,0.4,by,1
134,2,170,4.76,5,C,0.4,0.4,by,1
78,1,104,4.85,5,C,0.4,0.4,by,1
108,1,134,3.4,4,C,0.4,0.4,by,0
101,2,117,4.26,4,C,0.4,0.4,by,1
151,2,127,4.61,4,C,0.4,0.4,by,0
99,1,176,4.52,6,C,0.39,0.39,by,1
149,2,159,4.9,6,C,0.39,0.39,by,1
149,2,159,4.9,6,C,0.39,0.39,by,1
149,2,159,4.9,6,C,0.39,0.39,by,1
133,3,116,5.11,6,C,0.39,0.39,by,0
134,2,170,4.76,5,C,0.39,0.39,by,1
99,1,177,3.94,4,C,0.39,0.39,by,1
146,2,103,5.15,4,C,0.39,0.39,by,0
93,1,140,4.42,3,C,0.39,0.39,by,1
98,1,127,3.99,5,C,0.38,0.38,by,1
133,2,155,5.04,5,C,0.38,0.38,by,1
90,1,151,5.46,5,C,0.38,0.38,by,0
92,1,149,5.63,5,C,0.38,0.38,by,0
99,1,147,5.8,5,C,0.38,0.38,by,1
114,2,109,4.29,4,C,0.47,0.37,by,1
97,1,152,4.5,6,C,0.37,0.37,by,0
97,1,152,4.5,6,C,0.37,0.37,by,1
87,1,108,4.7,6,C,0.37,0.37,by,0
98,1,127,3.99,5,C,0.37,0.37,by,1
114,2,109,4.29,4,C,0.43,0.36,by,1
98,1,19,4.28,6,C,0.36,0.36,by,1
97,1,152,4.5,6,C,0.36,0.36,by,1
99,1,176,4.52,6,C,0.36,0.36,by,1
89,1,155,4.69,6,C,0.36,0.36,by,1
87,1,108,4.7,6,C,0.36,0.36,by,0
87,1,108,4.7,6,C,0.36,0.36,by,0
127,1,138,4.75,6,C,0.36,0.36,by,1
151,2,19,4.44,5,C,0.36,0.36,by,0
92,1,149,5.63,5,C,0.36,0.36,by,0
115,2,103,4.17,4,C,0.36,0.36,by,0
157,3,136,4.75,4,C,0.36,0.36,by,1
95,1,32,4.59,9,C,0.35,0.35,by,0
95,1,32,4.59,9,C,0.35,0.35,by,1
93,1,136,4.37,6,C,0.35,0.35,by,0
97,1,152,4.5,6,C,0.35,0.35,by,1
89,1,155,4.69,6,C,0.35,0.35,by,1
89,1,155,4.69,6,C,0.35,0.35,by,1
87,1,108,4.7,6,C,0.35,0.35,by,0
127,1,138,4.75,6,C,0.35,0.35,by,1
127,1,138,4.75,6,C,0.35,0.35,by,1
151,2,19,4.44,5,C,0.35,0.35,by,0
138,3,117,4.59,4,C,0.45,0.34,by,1
95,1,32,4.59,9,C,0.34,0.34,by,1
95,1,32,4.59,9,C,0.34,0.34,by,1
95,1,32,4.59,9,C,0.34,0.34,by,1
95,1,32,4.59,9,C,0.34,0.34,by,1
95,1,32,4.59,9,C,0.34,0.34,by,1
92,1,149,5.63,5,C,0.34,0.34,by,0
92,1,132,3.69,4,C,0.34,0.34,by,0
138,3,117,4.59,4,C,0.47,0.33,by,0
171,3,134,5.82,6,C,0.33,0.33,by,1
151,2,19,4.44,5,C,0.33,0.33,by,1
96,1,138,4.46,5,C,0.33,0.33,by,1
92,1,132,3.69,4,C,0.33,0.33,by,0
109,1,33,3.8,6,C,0.32,0.32,by,1
109,1,33,3.8,6,C,0.32,0.32,by,1
93,1,136,4.37,6,C,0.32,0.32,by,1
114,2,110,4.97,6,C,0.42,0.31,by,1
114,2,110,4.97,6,C,0.41,0.31,by,1
105,1,157,3.78,5,C,0.41,0.31,by,1
109,1,33,3.8,6,C,0.31,0.31,by,0
93,1,136,4.37,6,C,0.31,0.31,by,1
93,1,136,4.37,6,C,0.31,0.31,by,0
171,3,134,5.82,6,C,0.31,0.31,by,1
145,1,109,4.16,6,C,0.29,0.29,by,0
89,1,155,4.69,6,C,0.29,0.29,by,1
145,1,109,4.16,6,C,0.28,0.28,by,1
115,1,121,4.6,4,M,0.57,0.5,oo,1
134,2,106,4.76,4,M,0.53,0.47,oo,1
165,2,121,4.76,4,M,0.56,0.42,oo,1
137,2,177,5.44,5,M,0.51,0.42,oo,1
134,2,106,4.76,4,M,0.5,0.42,oo,0
137,2,177,5.44,5,M,0.49,0.41,oo,1
165,2,121,4.76,4,M,0.49,0.4,oo,1
151,3,139,5.08,5,M,0.49,0.39,oo,1
151,3,139,5.08,5,M,0.46,0.38,oo,1
115,2,139,5.26,6,M,0.44,0.38,oo,0
88,1,139,4.81,6,M,0.47,0.37,oo,1
128,2,177,5.44,6,M,0.44,0.37,oo,1
149,2,124,5.28,6,M,0.47,0.36,oo,1
88,1,139,4.81,6,M,0.46,0.36,oo,1
161,3,177,4.3,6,M,0.43,0.36,oo,1
148,2,167,5.02,3,M,0.43,0.35,oo,1
115,2,139,5.26,6,M,0.41,0.34,oo,0
148,2,165,4.35,5,M,0.41,0.34,oo,0
148,2,167,5.02,3,M,0.4,0.34,oo,1
128,2,177,5.44,6,M,0.43,0.33,oo,1
86,1,106,4.41,5,M,0.43,0.33,oo,0
148,2,165,4.35,5,M,0.41,0.32,oo,0
161,3,177,4.3,6,M,0.4,0.32,oo,0
86,1,106,4.41,5,M,0.4,0.32,oo,1
93,1,177,5.18,8,M,0.39,0.32,oo,0
93,1,177,5.18,8,M,0.39,0.32,oo,0
149,2,124,5.28,6,M,0.44,0.3,oo,1
93,1,177,5.18,8,M,0.38,0.3,oo,0
93,1,124,4.25,6,M,0.37,0.3,oo,1
93,1,124,4.25,6,M,0.35,0.29,oo,1
108,1,168,3.25,4,M,0.27,0.21,oo,0
108,1,168,3.25,4,M,0.28,0.2,oo,0
115,1,121,4.6,4,C,0.57,0.57,oo,1
134,2,106,4.76,4,C,0.55,0.55,oo,1
134,2,106,4.76,4,C,0.54,0.54,oo,1
165,2,121,4.76,4,C,0.52,0.52,oo,1
137,2,177,5.44,5,C,0.5,0.5,oo,1
137,2,177,5.44,5,C,0.5,0.5,oo,1
151,3,139,5.08,5,C,0.48,0.48,oo,1
151,3,139,5.08,5,C,0.48,0.48,oo,1
137,2,177,5.44,5,C,0.47,0.47,oo,1
165,2,121,4.76,4,C,0.47,0.47,oo,1
88,1,139,4.81,6,C,0.46,0.46,oo,1
115,2,139,5.26,6,C,0.46,0.46,oo,0
115,2,139,5.26,6,C,0.45,0.45,oo,0
88,1,139,4.81,6,C,0.44,0.44,oo,1
88,1,139,4.81,6,C,0.44,0.44,oo,1
115,2,139,5.26,6,C,0.44,0.44,oo,1
86,1,106,4.41,5,C,0.44,0.44,oo,0
151,3,139,5.08,5,C,0.44,0.44,oo,1
115,2,139,5.26,6,C,0.43,0.43,oo,1
149,2,124,5.28,6,C,0.43,0.43,oo,1
148,2,167,5.02,3,C,0.43,0.43,oo,1
161,3,177,4.3,6,C,0.42,0.42,oo,1
161,3,177,4.3,6,C,0.42,0.42,oo,1
88,1,139,4.81,6,C,0.42,0.42,oo,1
86,1,106,4.41,5,C,0.42,0.42,oo,0
161,3,177,4.3,6,C,0.41,0.41,oo,1
161,3,177,4.3,6,C,0.41,0.41,oo,1
128,2,177,5.44,6,C,0.41,0.41,oo,1
128,2,177,5.44,6,C,0.41,0.41,oo,1
128,2,177,5.44,6,C,0.41,0.41,oo,1
148,2,165,4.35,5,C,0.41,0.41,oo,0
148,2,165,4.35,5,C,0.41,0.41,oo,1
93,1,177,5.18,8,C,0.4,0.4,oo,0
93,1,177,5.18,8,C,0.39,0.39,oo,0
93,1,177,5.18,8,C,0.39,0.39,oo,0
93,1,177,5.18,8,C,0.39,0.39,oo,0
93,1,124,4.25,6,C,0.38,0.38,oo,1
128,2,177,5.44,6,C,0.38,0.38,oo,1
148,2,165,4.35,5,C,0.38,0.38,oo,1
86,1,106,4.41,5,C,0.38,0.38,oo,0
93,1,177,5.18,8,C,0.37,0.37,oo,0
93,1,124,4.25,6,C,0.37,0.37,oo,1
93,1,124,4.25,6,C,0.37,0.37,oo,0
93,1,124,4.25,6,C,0.37,0.37,oo,1
108,1,168,3.25,4,C,0.28,0.28,oo,1
108,1,168,3.25,4,C,0.27,0.27,oo,0
146,2,129,4.21,4,M,0.54,0.46,yo,1
128,2,101,4.97,5,M,0.55,0.45,yo,1
110,2,139,4.46,4,M,0.54,0.43,yo,0
150,3,139,4.23,4,M,0.49,0.43,yo,1
101,1,129,4.32,4,M,0.49,0.43,yo,1
110,2,139,4.46,4,M,0.53,0.42,yo,0
128,2,101,4.97,5,M,0.51,0.42,yo,0
101,1,129,4.32,4,M,0.49,0.42,yo,1
146,2,129,4.21,4,M,0.48,0.42,yo,1
104,1,163,5.21,5,M,0.48,0.41,yo,1
125,2,147,5.42,5,M,0.46,0.41,yo,0
104,1,111,4.81,5,M,0.49,0.4,yo,0
125,2,147,5.42,5,M,0.49,0.4,yo,1
150,3,139,4.23,4,M,0.5,0.39,yo,1
142,2,134,5.35,5,M,0.48,0.39,yo,0
104,1,111,4.81,5,M,0.47,0.39,yo,0
104,1,163,5.21,5,M,0.47,0.39,yo,1
180,2,111,4.64,4,M,0.48,0.38,yo,0
146,2,168,4.51,4,M,0.46,0.38,yo,1
146,2,168,4.51,4,M,0.46,0.38,yo,1
125,2,105,4.63,5,M,0.45,0.38,yo,1
125,2,105,4.63,5,M,0.44,0.38,yo,1
110,1,171,3.77,4,M,0.46,0.37,yo,1
96,1,23,5.11,2,M,0.46,0.36,yo,0
128,1,101,5.02,5,M,0.45,0.36,yo,1
98,1,171,5.63,6,M,0.44,0.36,yo,1
128,1,101,5.02,5,M,0.44,0.35,yo,1
110,1,171,3.77,4,M,0.44,0.35,yo,1
134,2,23,4.52,4,M,0.44,0.35,yo,0
134,2,23,4.52,4,M,0.43,0.35,yo,0
76,1,115,3.58,4,M,0.41,0.35,yo,0
180,2,111,4.64,4,M,0.5,0.34,yo,0
142,2,134,5.35,5,M,0.46,0.34,yo,1
96,1,23,5.11,2,M,0.44,0.34,yo,0
91,1,105,4.41,4,M,0.42,0.34,yo,1
98,1,171,5.63,6,M,0.39,0.34,yo,1
76,1,115,3.58,4,M,0.38,0.33,yo,1
94,1,147,5.08,6,M,0.39,0.32,yo,1
94,1,147,5.08,6,M,0.39,0.32,yo,1
91,1,105,4.41,4,M,0.39,0.32,yo,1
88,1,114,4.46,4,M,0.39,0.31,yo,0
88,1,114,4.46,4,M,0.38,0.31,yo,1
132,2,171,5.78,6,M,0.32,0.25,yo,1
159,3,147,5.27,4,C,0.6,0.6,yo,0
159,3,147,5.27,4,C,0.56,0.56,yo,1
110,2,139,4.46,4,C,0.54,0.54,yo,0
125,2,147,5.42,5,C,0.53,0.53,yo,1
125,2,114,5.1,4,C,0.53,0.53,yo,1
128,2,101,4.97,5,C,0.52,0.52,yo,1
128,2,101,4.97,5,C,0.51,0.51,yo,1
128,2,101,4.97,5,C,0.51,0.51,yo,1
146,2,129,4.21,4,C,0.51,0.51,yo,1
146,2,129,4.21,4,C,0.5,0.5,yo,1
110,2,139,4.46,4,C,0.5,0.5,yo,1
99,1,134,4.5,5,C,0.49,0.49,yo,1
104,1,111,4.81,5,C,0.49,0.49,yo,1
104,1,111,4.81,5,C,0.49,0.49,yo,1
125,2,147,5.42,5,C,0.49,0.49,yo,1
150,3,139,4.23,4,C,0.49,0.49,yo,1
101,1,129,4.32,4,C,0.49,0.49,yo,1
125,2,114,5.1,4,C,0.49,0.49,yo,1
104,1,163,5.21,5,C,0.48,0.48,yo,1
101,1,129,4.32,4,C,0.48,0.48,yo,1
180,2,111,4.64,4,C,0.48,0.48,yo,1
99,1,134,4.5,5,C,0.47,0.47,yo,1
104,1,163,5.21,5,C,0.47,0.47,yo,1
142,2,134,5.35,5,C,0.47,0.47,yo,1
150,3,139,4.23,4,C,0.47,0.47,yo,1
172,2,101,5.34,3,C,0.47,0.47,yo,1
99,1,134,4.5,5,C,0.46,0.46,yo,1
104,1,111,4.81,5,C,0.46,0.46,yo,1
104,1,163,5.21,5,C,0.46,0.46,yo,1
125,2,147,5.42,5,C,0.46,0.46,yo,1
110,1,171,3.77,4,C,0.46,0.46,yo,1
180,2,111,4.64,4,C,0.46,0.46,yo,1
172,2,101,5.34,3,C,0.46,0.46,yo,1
172,2,101,5.34,3,C,0.46,0.46,yo,1
98,1,171,5.63,6,C,0.45,0.45,yo,0
125,2,105,4.63,5,C,0.45,0.45,yo,1
142,2,134,5.35,5,C,0.45,0.45,yo,1
110,1,171,3.77,4,C,0.45,0.45,yo,1
146,2,168,4.51,4,C,0.45,0.45,yo,1
107,1,163,4.23,3,C,0.45,0.45,yo,0
98,1,171,5.63,6,C,0.44,0.44,yo,1
