CarcassMass,CarcassWater,Group
3.05,2.349,1
2.783,2.129,1
2.492,1.936,1
3.543,2.813,1
2.495,1.908,1
4.088,3.307,2
4.264,3.405,2
3.2,2.528,2
4.038,3.217,2
3.855,3.102,2
